Requirement ID,Requirement Description,AWS Service/Feature,How Enforced/Configured,Automated Check/Test,Evidence Artifact,Compliance Mapping
ESA-003.3,Lambda functions processing SQS batches SHALL handle partial batch failures,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for ESA-003.3,ISO 27001
ESA-004.1,SNS topics SHALL be configured with appropriate access policies and encryption,KMS,KMS key policy and configuration,AWS Config Rule: cmk-backing-key-rotation-enabled,KMS console key rotation status,ISO 27001 A.9.2.3
ESA-004.2,SNS subscriptions SHALL use message filtering for targeted delivery,SQS,SQS configuration,SQS compliance monitoring,SQS console configuration,ISO 27001
ESA-004.3,SNS topics SHALL have delivery status logging enabled for monitoring,CloudWatch,CloudWatch Logs configuration with retention,CloudWatch metrics and alarms,CloudWatch dashboard: esa-004.3-monitoring,ISO 27001 A.12.4.1
ESA-005.1,S3 buckets SHALL configure event notifications for Lambda processing with appropriate filtering,Parameter Store,Parameter Store configuration,AWS Config Rule: ssm-document-not-public,Parameter Store console encryption status,ISO 27001 A.12.4.1
ESA-005.2,Lambda functions processing S3 events SHALL implement appropriate processing patterns,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for ESA-005.2,ISO 27001 A.12.4.1
ESA-005.3,S3 buckets with cross-region replication SHALL handle replication events appropriately,S3,S3 bucket policy and configuration,S3 bucket compliance monitoring,S3 console configuration,ISO 27001 A.12.4.1
OBS-001.1,All Lambda functions SHALL integrate AWS Lambda Powertools for standardized observability,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-001.1,ISO 27001
OBS-001.2,All application logs SHALL use structured JSON format with mandatory fields,CloudWatch,CloudWatch Logs configuration with retention,CloudWatch metrics and alarms,CloudWatch dashboard: obs-001.2-monitoring,ISO 27001 A.12.4.1
OBS-001.3,All requests SHALL have correlation IDs for end-to-end tracing,X-Ray,X-Ray configuration,X-Ray service map and trace analysis,X-Ray console configuration,ISO 27001
OBS-002.1,All Lambda functions SHALL have AWS X-Ray tracing enabled,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-002.1,ISO 27001
OBS-002.2,X-Ray traces SHALL include custom annotations for filtering and metadata for context,X-Ray,X-Ray configuration,X-Ray service map and trace analysis,X-Ray console configuration,ISO 27001
OBS-002.3,X-Ray service maps SHALL provide clear visualization of service dependencies,X-Ray,X-Ray configuration,X-Ray service map and trace analysis,X-Ray console configuration,ISO 27001
OBS-003.1,Lambda functions SHALL emit custom business and operational metrics,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-003.1,ISO 27001
OBS-003.2,Critical Lambda functions SHALL have comprehensive CloudWatch alarms,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-003.2,ISO 27001
OBS-003.3,Lambda functions SHALL have operational dashboards for monitoring,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-003.3,ISO 27001 A.12.4.1
OBS-004.1,Lambda function logs SHALL be properly configured with retention and encryption,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-004.1,ISO 27001 A.10.1.2
OBS-004.2,Logs SHALL be aggregated for centralized analysis and alerting,CloudWatch,CloudWatch Logs configuration with retention,CloudWatch metrics and alarms,CloudWatch dashboard: obs-004.2-monitoring,ISO 27001 A.12.4.1
OBS-004.3,Critical log events SHALL trigger automated alerts,CloudWatch,CloudWatch Logs configuration with retention,CloudWatch metrics and alarms,CloudWatch dashboard: obs-004.3-monitoring,ISO 27001 A.12.4.1
OBS-005.1,Lambda functions SHALL have documented incident response procedures,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-005.1,ISO 27001
OBS-005.2,Lambda functions SHALL have defined on-call procedures and escalation paths,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-005.2,ISO 27001
OBS-005.3,Lambda functions SHALL have documented maintenance procedures,Lambda,Lambda function configuration,AWS Config Rule: lambda-function-settings-check,Lambda console configuration for OBS-005.3,ISO 27001
