Requirement ID,Requirement Description,AWS Service/Feature,How Enforced/Configured,Automated Check/Test,Evidence Artifact,Compliance Mapping
NFR-003.1,Functions must have appropriate concurrency limits,Lambda,Reserved concurrency based on load testing + Account limits,CloudWatch concurrency utilization + Throttling metrics,Lambda console concurrency configuration + utilization reports,ISO 27001 A.12.1.3
NFR-003.2,Functions must support required throughput with linear scaling,Lambda,Auto-scaling event sources with batch size optimization,CloudWatch throughput metrics + Event source scaling,Event source console scaling configuration + throughput dashboards,ISO 27001 A.12.1.3
NFR-004.1,Critical functions must meet RTO ≤ 4 hours,Lambda,Automated disaster recovery with cross-region deployment,DR testing results + Recovery time measurement,DR runbook execution logs + recovery time reports,ISO 27001 A.17.1.2
NFR-004.2,Critical data must meet RPO ≤ 15 minutes,S3,Cross-region replication with point-in-time recovery,Replication lag monitoring + Backup verification,Replication status dashboards + backup integrity reports,ISO 27001 A.12.3.1
NFR-004.3,Code and configuration must have backup and restore capability,S3,Versioned storage with cross-region replication,Backup verification + Restore testing,S3 versioning status + restore test results,ISO 27001 A.12.3.1
NFR-005.1,Logs must follow retention policies,CloudWatch,Log retention policies with lifecycle management,CloudWatch log group retention settings,CloudWatch console retention configuration + compliance reports,ISO 27001 A.12.4.2
NFR-005.2,Data must be classified and handled appropriately,Lambda,Data classification scanning with PII detection,DLP scanning results + Data classification reports,Data classification dashboard + PII detection logs,ISO 27001 A.8.2.1
NFR-006.1,Cost KPIs must be tracked and optimized,Cost Explorer,Cost per transaction tracking with business unit allocation,Cost anomaly detection + Budget alerts,Cost Explorer dashboards + cost allocation reports,ISO 27001 A.12.1.3
NFR-006.2,Resource utilization must be optimized,Lambda,Memory and concurrency optimization based on metrics,Lambda Power Tuning + Utilization analysis,Resource optimization reports + cost savings analysis,ISO 27001 A.12.1.3
NFR-007.1,Capacity planning must support growth projections,CloudWatch,Capacity models with 100% YoY growth planning,Capacity utilization trends + Growth projection analysis,Capacity planning dashboards + growth trend reports,ISO 27001 A.12.1.3
NFR-007.2,Auto-scaling must prevent cascade failures,Lambda,Circuit breaker patterns with auto-scaling limits,Circuit breaker metrics + Cascade failure prevention,Auto-scaling configuration + circuit breaker status,ISO 27001 A.17.1.1
LRR-001.1,Functions must use versioning with immutable releases,Lambda,Lambda versioning with semantic version descriptions,Version publishing compliance + $LATEST usage detection,Lambda console version history + deployment tracking,ISO 27001 A.14.2.2
LRR-001.2,Production traffic must route through aliases,Lambda,Lambda aliases with weighted routing for canary deployments,Alias configuration validation + Traffic routing verification,Lambda console alias configuration + traffic distribution reports,ISO 27001 A.14.2.4
LRR-001.3,Production deployments must use CodeDeploy canary releases,CodeDeploy,CodeDeploy application with canary deployment configuration,CodeDeploy deployment success rate + Rollback frequency,CodeDeploy console deployment history + success metrics,ISO 27001 A.14.2.4
LRR-002.1,Functions must have reserved concurrency configured,Lambda,Reserved concurrency based on capacity planning,Concurrency allocation compliance + Account limit monitoring,Lambda console concurrency settings + allocation reports,ISO 27001 A.12.1.3
LRR-002.2,Latency-critical functions must use provisioned concurrency,Lambda,Provisioned concurrency with auto-scaling configuration,Provisioned concurrency utilization + Cost-benefit analysis,Lambda console provisioned concurrency + utilization metrics,ISO 27001 A.12.1.3
LRR-002.3,Function timeouts must be optimized based on testing,Lambda,Timeout configuration based on P99 duration + 20% buffer,Timeout analysis + Performance optimization reports,Lambda console timeout settings + performance analysis,ISO 27001 A.12.1.3
LRR-002.4,Memory allocation must be optimized for cost and performance,Lambda,Memory sizing based on AWS Lambda Power Tuning analysis,Memory optimization analysis + Cost per invocation tracking,Lambda Power Tuning reports + cost optimization analysis,ISO 27001 A.12.1.3
LRR-003.1,Functions must implement idempotency for safe retries,DynamoDB,Idempotency token storage with TTL in DynamoDB,Duplicate request detection + Idempotency compliance testing,DynamoDB idempotency table + duplicate request metrics,ISO 27001 A.14.2.5
LRR-003.2,Asynchronous functions must have Dead Letter Queues,SQS,SQS DLQ configuration with message retention and monitoring,DLQ message count + Processing failure analysis,SQS console DLQ configuration + failure analysis reports,ISO 27001 A.14.2.5
LRR-003.3,Functions must use destinations for success/failure routing,SNS,Event destinations with success/failure routing configuration,Destination routing verification + Message flow analysis,Lambda console destination configuration + message flow reports,ISO 27001 A.14.2.5
LRR-003.4,Retry logic must implement exponential backoff with jitter,Lambda,Exponential backoff implementation with circuit breaker patterns,Retry behavior analysis + Circuit breaker effectiveness,Retry metrics dashboard + circuit breaker status reports,ISO 27001 A.14.2.5
LRR-004.1,Cold start performance must be monitored and optimized,CloudWatch,Cold start detection with init duration tracking,Cold start frequency + Performance optimization metrics,CloudWatch cold start dashboard + optimization reports,ISO 27001 A.12.1.3
LRR-004.2,Performance bottlenecks must be identified and resolved,X-Ray,X-Ray tracing with performance bottleneck identification,Performance analysis + Bottleneck identification reports,X-Ray service map + performance bottleneck analysis,ISO 27001 A.12.1.3
ESA-001.1,API Gateway integration must follow security best practices,API Gateway,REST/HTTP API configuration with proper authentication and throttling,Config Rule: api-gw-associated-with-waf + Custom throttling rule,API Gateway console configuration + throttling metrics,ISO 27001 A.13.1.3
ESA-001.2,API Gateway must implement throttling and usage plans,API Gateway,Usage plans with API key throttling and burst limits,API Gateway throttling metrics + Usage plan compliance,API Gateway console usage plans + throttling reports,ISO 27001 A.13.1.3
ESA-001.3,API Gateway stages must not be publicly accessible without WAF,WAF,WAF Web ACL association with all public API stages,Config Rule: api-gw-associated-with-waf,WAF console association status + API Gateway stage security,ISO 27001 A.13.1.3
ESA-001.4,API Gateway must log all requests for audit purposes,CloudWatch,CloudWatch Logs integration with structured request logging,API Gateway access logging configuration + Log analysis,CloudWatch Logs API Gateway log groups + audit trail,ISO 27001 A.12.4.1
ESA-002.1,EventBridge rules must have proper event filtering,EventBridge,Event pattern filtering with least privilege event routing,EventBridge rule evaluation metrics + Event filtering analysis,EventBridge console rule configuration + event metrics,ISO 27001 A.14.2.5
ESA-002.2,EventBridge must have DLQ configuration for failed events,SQS,DLQ configuration for EventBridge rules with retry policies,EventBridge DLQ metrics + Failed event analysis,EventBridge console DLQ configuration + failure reports,ISO 27001 A.14.2.5
ESA-002.3,EventBridge custom buses must have proper access controls,EventBridge,Resource-based policies on custom event buses,EventBridge bus policy validation + Access control analysis,EventBridge console bus policies + access audit logs,ISO 27001 A.9.4.1
ESA-003.1,SQS queues must have redrive policies configured,SQS,DLQ redrive policy with maximum receive count configuration,SQS redrive policy compliance + Message processing analysis,SQS console redrive configuration + message flow reports,ISO 27001 A.14.2.5
ESA-003.2,SQS queues must use server-side encryption,SQS,SQS server-side encryption with customer-managed KMS keys,Config Rule: sqs-encrypted-kms + Encryption compliance,SQS console encryption status + KMS key usage reports,ISO 27001 A.10.1.2
ESA-003.3,SQS visibility timeout must align with Lambda function timeout,SQS,Visibility timeout configuration relative to Lambda handler timeout,SQS/Lambda timeout alignment analysis + Processing efficiency metrics,SQS console timeout configuration + processing time analysis,ISO 27001 A.14.2.5
ESA-004.1,SNS topics must have proper subscription policies,SNS,SNS topic policies with least privilege subscription access,SNS topic policy validation + Subscription access analysis,SNS console topic policies + subscription audit logs,ISO 27001 A.9.4.1
ESA-004.2,SNS must use server-side encryption for sensitive notifications,SNS,SNS server-side encryption with customer-managed KMS keys,Config Rule: sns-encrypted-kms + Encryption compliance,SNS console encryption status + KMS key usage reports,ISO 27001 A.10.1.2
ESA-004.3,SNS delivery policies must handle failures appropriately,SNS,SNS delivery retry policies with DLQ for failed deliveries,SNS delivery failure metrics + Retry policy analysis,SNS console delivery policies + failure analysis reports,ISO 27001 A.14.2.5
ESA-005.1,S3 event notifications must have proper filtering,S3,S3 event notification filtering with prefix/suffix patterns,S3 event notification metrics + Processing efficiency analysis,S3 console event configuration + processing metrics,ISO 27001 A.14.2.5
ESA-005.2,S3 buckets must have proper access controls for Lambda,S3,S3 bucket policies with least privilege Lambda access,Config Rule: s3-bucket-public-access-prohibited + Bucket policy analysis,S3 console bucket policies + access audit logs,ISO 27001 A.9.4.1
ESA-005.3,S3 event processing must handle large object scenarios,S3,Lambda configuration for large object processing with appropriate timeout,S3 object size analysis + Lambda processing time correlation,S3 console object metrics + Lambda processing reports,ISO 27001 A.12.1.3
OBS-001.1,Lambda Powertools must be implemented for observability,Lambda,AWS Lambda Powertools integration with structured logging,Lambda Powertools usage compliance + Observability metrics,Lambda function code analysis + observability dashboard,ISO 27001 A.12.4.1
OBS-001.2,X-Ray tracing must be enabled for all functions,X-Ray,X-Ray active tracing configuration on all Lambda functions,Config Rule: lambda-function-settings-check (TracingConfig),X-Ray console service map + tracing coverage reports,ISO 27001 A.12.4.1
OBS-001.3,Structured logging must include correlation IDs,CloudWatch,JSON structured logging with correlation ID implementation,Log structure analysis + Correlation ID compliance,CloudWatch Logs Insights queries + log structure reports,ISO 27001 A.12.4.1
OBS-002.1,CloudWatch metrics must be configured for all functions,CloudWatch,Custom metrics for business KPIs and technical metrics,CloudWatch metrics compliance + Coverage analysis,CloudWatch console custom metrics + coverage reports,ISO 27001 A.12.4.1
OBS-002.2,CloudWatch alarms must be configured for critical metrics,CloudWatch,Alarm configuration for error rate duration and throttles,CloudWatch alarm compliance + Alert effectiveness analysis,CloudWatch console alarm configuration + alert reports,ISO 27001 A.12.4.1
OBS-002.3,CloudWatch dashboards must provide operational visibility,CloudWatch,Operational dashboards with SLO and business metrics,Dashboard usage analytics + Operational visibility assessment,CloudWatch console dashboards + usage reports,ISO 27001 A.12.4.1
OBS-003.1,Log retention must comply with regulatory requirements,CloudWatch,Log retention policies aligned with compliance requirements,Log retention compliance + Storage cost analysis,CloudWatch Logs console retention settings + compliance reports,ISO 27001 A.12.4.2
OBS-003.2,Log aggregation must support compliance and audit needs,CloudWatch,Log aggregation with long-term storage and search capabilities,Log aggregation compliance + Audit trail completeness,CloudWatch Logs export configuration + audit trail reports,ISO 27001 A.12.4.2
OBS-003.3,Sensitive data must be redacted from logs,Lambda,Log redaction implementation for PII and sensitive data,PII detection in logs + Redaction compliance analysis,Log content analysis + PII detection reports,ISO 27001 A.8.2.3
OBS-004.1,Operational runbooks must be maintained and tested,Systems Manager,Runbook automation with Systems Manager documents,Runbook execution success rate + Testing compliance,Systems Manager console runbook execution + testing reports,ISO 27001 A.16.1.5
OBS-004.2,On-call procedures must be documented and automated,SNS,Automated escalation with on-call rotation integration,Escalation effectiveness + Response time analysis,On-call system integration + response time reports,ISO 27001 A.16.1.5
OBS-004.3,Incident response must have defined SLAs and escalation,SNS,Incident response automation with SLA tracking,Incident response SLA compliance + Escalation effectiveness,Incident management system + SLA compliance reports,ISO 27001 A.16.1.5
OBS-005.1,Performance monitoring must identify optimization opportunities,CloudWatch,Performance analysis with optimization recommendations,Performance optimization opportunity identification + Cost impact analysis,Performance optimization dashboard + recommendation reports,ISO 27001 A.12.1.3
OBS-005.2,Cost monitoring must track function-level expenses,CloudWatch,Function-level cost allocation with trend analysis,Cost allocation accuracy + Trend analysis effectiveness,Cost Explorer function-level reports + trend analysis,ISO 27001 A.12.1.3
OBS-005.3,Security monitoring must detect and alert on anomalies,Security Hub,Security anomaly detection with automated alerting,Security anomaly detection effectiveness + Alert accuracy,Security Hub findings + GuardDuty detection reports,ISO 27001 A.12.6.1
